people_id,person_id,company_name,company_li_name,last_title,group_start_date,group_end_date
0,9fb750ce-4acd-40d6-a58b-f6718342364f,GoCardless,gocardless,Software Engineer,2019-01-01,2020-01-01
1,9fb750ce-4acd-40d6-a58b-f6718342364f,Stealth startup,online-shoe-store,Founder / CTO,2018-01-01,2019-01-01
2,9fb750ce-4acd-40d6-a58b-f6718342364f,Arkera,arkera,Software Engineer,2017-01-01,2018-01-01
3,9fb750ce-4acd-40d6-a58b-f6718342364f,Imperial College London,imperial-college-london,UTA (Undergraduate Teaching Assistant),2016-01-01,2017-01-01
4,15f5d8ed-36ad-4cf7-8748-c50dc9589f59,Splunk,splunk,Software Engineer,2019-10-01,
5,15f5d8ed-36ad-4cf7-8748-c50dc9589f59,Earnest Inc.,earnest-llc,Software Engineer,2018-08-01,2019-10-01
6,15f5d8ed-36ad-4cf7-8748-c50dc9589f59,SSL (Space Systems Loral),sslmda,Software Engineer,2015-07-01,2018-08-01
7,15f5d8ed-36ad-4cf7-8748-c50dc9589f59,Dev Bootcamp,dev-bootcamp,Web Development Student,2014-12-01,2015-04-01
8,15f5d8ed-36ad-4cf7-8748-c50dc9589f59,University of Southern California,university-of-southern-california,Research Assistant,2008-08-01,2012-12-01
9,89e252a0-273d-4cca-a868-873628e84818,Compasso UOL,compass-uol,Co-Founder & CEO,1995-01-01,
10,56f14616-dc8f-4a46-8a11-9adc98cecdaa,Great.com,great-com,Founder,2018-01-01,
11,56f14616-dc8f-4a46-8a11-9adc98cecdaa,Catena Media,catenamedia,Chief Strategy Officer,2010-10-01,2017-12-01
12,0ffcaae4-d5bb-46dc-85f1-cefbd1a5f619,Affirm,affirm,Senior Software Engineer,2021-03-01,
13,0ffcaae4-d5bb-46dc-85f1-cefbd1a5f619,Netskope,netskope,Senior Software Engineer,2019-02-01,2021-03-01
14,0ffcaae4-d5bb-46dc-85f1-cefbd1a5f619,Albertsons Companies,albertsons,Software Engineer,2017-06-01,2019-02-01
15,0ffcaae4-d5bb-46dc-85f1-cefbd1a5f619,JCHIP,jchip,Youth Leader Intern,2016-06-01,2016-08-01
16,0ffcaae4-d5bb-46dc-85f1-cefbd1a5f619,DECAL Lab,decal-lab,Undergraduate Research Assistant,2016-04-01,2016-06-01
17,0ffcaae4-d5bb-46dc-85f1-cefbd1a5f619,Computer Lab Management,computer-lab-management,Hardware Support Trainee,2015-09-01,2017-06-01
18,8dae1b28-b504-4400-9c18-7da5610f91ee,Uber,uber-com,Program Manager,2018-02-01,
19,8dae1b28-b504-4400-9c18-7da5610f91ee,AGL,agl,Values and Customer Champion,2013-08-01,2018-02-01
20,8dae1b28-b504-4400-9c18-7da5610f91ee,AGL Energy,agl,Performance Analyst,2011-08-01,2018-02-01
21,b5920a5f-b2e3-4f60-9306-1e3390cd9a9b,First Round Capital,first-round-capital,Angel Track,2019-04-01,2019-07-01
22,b5920a5f-b2e3-4f60-9306-1e3390cd9a9b,Cash App,cash-app,"Head of Marketing & Brand - Cash App (Block, Inc.)",2017-03-01,
23,b5920a5f-b2e3-4f60-9306-1e3390cd9a9b,Square,joinsquare,Cash App Brand + Communications,2011-10-01,2017-03-01
24,b5920a5f-b2e3-4f60-9306-1e3390cd9a9b,Google,google,Slide Team,2010-10-01,2011-10-01
25,87f00953-a04d-4b6c-91a4-d2192b369709,Lumen Technologies,lumentechnologies,Senior Lead Engineer,2013-07-01,
26,87f00953-a04d-4b6c-91a4-d2192b369709,Sirius Computer Solutions,sirius-computer-solutions,Sr. Networking Solutions Engineer,2009-07-01,2013-07-01
27,87f00953-a04d-4b6c-91a4-d2192b369709,Sprint,sprint,Senior Network Design Engineer,2002-03-01,2009-03-01
28,87f00953-a04d-4b6c-91a4-d2192b369709,SprintParanet,sprintparanet,Technical Solution Consultant,1999-01-01,2002-01-01
29,12f92340-301c-4880-b576-5003241adda0,SpaceX,spacex,Ground Software Engineer,2018-07-01,
30,12f92340-301c-4880-b576-5003241adda0,National Instruments,niglobal,Engineering Leadership Program Intern,2017-05-01,2017-08-01
31,12f92340-301c-4880-b576-5003241adda0,Kansas State University,kansas-state-university,Undergraduate Researcher,2017-02-01,2018-05-01
32,12f92340-301c-4880-b576-5003241adda0,Cerner Corporation,cerner-corporation,Software Engineer Intern,2016-05-01,2016-07-01
